timestamp,open,high,low,close,adjusted close,volume,dividend amount
31/12/2013,179.46,187.79,172.73,187.57,114.5146,97993100,0
29/11/2013,179.81,186.24,177.31,179.68,109.6976,100984900,0.95
31/10/2013,185.34,186.99,172.57,179.21,108.8337,130967100,0
30/09/2013,183.63,194.89,182.31,185.18,112.4592,71488100,0
30/08/2013,196.65,197.17,181.1,182.27,110.692,73077400,0.95
31/07/2013,192.15,200.94,190.26,195.04,117.8534,88079400,0
28/06/2013,208.25,210.05,188.41,191.11,115.4787,80215000,0
31/05/2013,201.87,211.98,199.2,208.02,125.6966,90683600,0.95
30/04/2013,212.8,214.89,187.68,202.54,121.8203,108666600,0
28/03/2013,200.65,215.9,199.36,213.3,128.292,76023800,0
28/02/2013,204.65,205.35,197.51,200.83,120.7918,64144100,0.85
31/01/2013,194.09,208.58,190.39,203.07,121.6248,87636600,0
31/12/2012,190.76,196.45,186.94,191.55,114.7251,79320200,0
30/11/2012,194.96,198,184.78,190.07,113.8387,81892500,0.85
31/10/2012,208.01,211.79,190.56,194.53,115.9941,96155000,0
28/09/2012,196.61,208.32,193.25,207.45,123.6981,77341400,0
31/08/2012,196.96,202,193.02,194.85,116.1849,60653700,0.85
31/07/2012,196.36,197.84,181.85,195.98,116.3618,91516500,0
29/06/2012,190.12,199.99,187,195.58,116.1243,84559100,0
31/05/2012,207.18,208.929,192,192.9,114.5331,86005300,0.85
30/04/2012,208.96,210.69,196.791,207.08,122.4358,86603000,0
30/03/2012,197.23,209.12,196.812,208.65,123.3641,88096900,0
29/02/2012,193.21,199.23,190.831,196.73,116.3164,78809900,0.75
31/01/2012,186.73,193.1,177.3472,192.6,113.4336,110015000,0
30/12/2011,187.01,194.9,179.04,183.88,108.2979,103436500,0
30/11/2011,181.55,189.97,177.06,188,110.7244,97014100,0.75
31/10/2011,174.36,190.53,168.88,184.63,108.3058,144563700,0
30/09/2011,172.71,180.91,158.76,174.87,102.5805,137895000,0
31/08/2011,182.6,183.69,157.13,171.91,100.8441,195054100,0.75
29/07/2011,171.61,185.63,171.49,181.85,106.1959,113593200,0
30/06/2011,168.9,172.4468,161.52,171.55,100.1809,105442400,0
31/05/2011,172.11,173.54,165.9,168.93,98.6509,110804200,0.75
29/04/2011,163.7,173,162.19,170.58,99.174,100769500,0
31/03/2011,163.15,167.72,151.71,163.07,94.8078,129714300,0
28/02/2011,162.11,166.25,159.03,161.88,94.1159,89067500,0.65
31/01/2011,147.21,164.35,146.64,162,93.8184,118831600,0
31/12/2010,143.61,147.5,143.51,146.76,84.9926,93392800,0
30/11/2010,143.64,147.53,141.18,141.46,81.9232,104096700,0.65
29/10/2010,135.51,144,134.39,143.6,82.7951,137284700,0
30/09/2010,125.31,136.11,124.52,134.14,77.3407,116092900,0
31/08/2010,129.25,132.49,122.28,123.13,70.9927,117394000,0.65
30/07/2010,123.55,131.6,120.61,128.4,73.6633,144080000,0
30/06/2010,124.69,131.94,122.82,123.48,70.8407,162019100,0
28/05/2010,129.39,133.1,116,125.26,71.8619,188444200,0.65
30/04/2010,128.95,132.28,127.12,129,73.6214,146426400,0
31/03/2010,127.5,130.73,125.2,128.25,73.1933,139997300,0
26/02/2010,123.23,128.27,121.61,127.16,72.5713,113211200,0.55
29/01/2010,131.18,134.25,121.9,122.39,69.5352,156110600,0
31/12/2009,127.29,132.85,126,130.9,74.3701,124475900,0
30/11/2009,120.61,128.94,119.5,126.35,71.7851,110748200,0.55
30/10/2009,119.39,128.61,117.26,120.61,68.2201,183531100,0
30/09/2009,117.67,122.88,115.15,119.61,67.6544,131522200,0
31/08/2009,118.88,120.88,116.12,118.05,66.7721,112480200,0.55
31/07/2009,105,119.37,99.5,117.93,66.3931,176171400,0
30/06/2009,106.94,110.64,103.51,104.42,58.7871,160502100,0
29/05/2009,103.78,106.82,99.83,106.28,59.8343,153084700,0.55
30/04/2009,96.13,106.05,95.7,103.21,57.8021,213623100,0
31/03/2009,91.17,99.86,83.02,96.89,54.2626,286114500,0
27/02/2009,90.6,97.1,82.85,92.03,51.5408,223017600,0.5
30/01/2009,83.89,94.94,81.76,91.65,51.0624,208959400,0
31/12/2008,80.95,87.27,75.31,84.16,46.8894,188846100,0
28/11/2008,92.64,94.76,69.5,81.6,45.4631,218313000,0.5
31/10/2008,115.51,116.8,78.82,92.97,51.4954,314972000,0
30/09/2008,122.87,124,109.95,116.96,64.7833,218411700,0
29/08/2008,128.52,129.97,121.5,121.73,67.4254,137028800,0.5
31/07/2008,117.5,130.93,116.6,127.98,70.6139,200876500,0
30/06/2008,128.67,129.37,118.15,118.53,65.3998,152327500,0
30/05/2008,121.06,129.99,120.78,129.43,71.4139,159517500,0.5
30/04/2008,115.14,125,113.86,120.7,66.3299,192087200,0
31/03/2008,114.09,119.79,111.8,115.14,63.2745,179284200,0
29/02/2008,107.21,116.63,100.6,113.86,62.5711,168280800,0.4
